Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
citrus fruit,detergent,fruit/vegetable juice,cream cheese,napkins,whole milk,pastry,pork,butter,coffee
rolls/buns,citrus fruit,butter,ice cream,,,,,,
whole milk,,,,,,,,,
whole milk,,,,,,,,,
bottled water,,,,,,,,,
curd,shopping bags,margarine,bottled water,root vegetables,soda,yogurt,napkins,sausage,
pip fruit,,,,,,,,,
napkins,yogurt,hamburger meat,newspapers,frozen vegetables,whipped/sour cream,,,,
cream cheese,bottled water,,,,,,,,
curd,hamburger meat,citrus fruit,fruit/vegetable juice,pip fruit,frozen vegetables,root vegetables,,,
whipped/sour cream,bottled water,cream cheese,pip fruit,frozen vegetables,tropical fruit,brown bread,,,
sausage,cream cheese,whole milk,soda,newspapers,yogurt,napkins,,,
pork,citrus fruit,root vegetables,pastry,bottled water,rolls/buns,shopping bags,brown bread,whole milk,
bottled water,detergent,soda,whipped/sour cream,napkins,rolls/buns,pastry,,,
hamburger meat,detergent,pastry,soda,bottled water,butter,tropical fruit,margarine,whole milk,fruit/vegetable juice
other vegetables,curd,domestic eggs,coffee,napkins,whole milk,chicken,,,
brown bread,ice cream,,,,,,,,
pork,chicken,bottled water,yogurt,curd,pastry,rolls/buns,frozen vegetables,coffee,newspapers
citrus fruit,tropical fruit,,,,,,,,
newspapers,chicken,other vegetables,napkins,,,,,,
yogurt,napkins,pastry,,,,,,,
pip fruit,butter,soda,fruit/vegetable juice,,,,,,
brown bread,yogurt,,,,,,,,
root vegetables,soda,pastry,bottled water,domestic eggs,rolls/buns,pip fruit,newspapers,,
butter,tropical fruit,,,,,,,,
napkins,,,,,,,,,
chicken,margarine,root vegetables,detergent,ice cream,curd,soda,cream cheese,other vegetables,
brown bread,citrus fruit,cream cheese,napkins,,,,,,
newspapers,yogurt,coffee,sausage,pastry,shopping bags,brown bread,butter,bottled water,
hamburger meat,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,
napkins,domestic eggs,whipped/sour cream,sausage,fruit/vegetable juice,coffee,ice cream,shopping bags,citrus fruit,butter
sausage,hamburger meat,whipped/sour cream,,,,,,,
napkins,pastry,sausage,shopping bags,citrus fruit,,,,,
chicken,other vegetables,napkins,detergent,curd,,,,,
fruit/vegetable juice,,,,,,,,,
coffee,hamburger meat,whole milk,root vegetables,pip fruit,domestic eggs,bottled water,whipped/sour cream,,
newspapers,shopping bags,frozen vegetables,whipped/sour cream,detergent,,,,,
napkins,frozen vegetables,domestic eggs,shopping bags,tropical fruit,fruit/vegetable juice,ice cream,rolls/buns,,
frozen vegetables,,,,,,,,,
bottled water,cream cheese,ice cream,newspapers,domestic eggs,,,,,
other vegetables,napkins,ice cream,domestic eggs,frozen vegetables,whipped/sour cream,pastry,coffee,whole milk,
chicken,tropical fruit,curd,whole milk,newspapers,brown bread,pork,cream cheese,shopping bags,
shopping bags,napkins,rolls/buns,pork,newspapers,whole milk,frozen vegetables,fruit/vegetable juice,,
butter,,,,,,,,,
pip fruit,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,
butter,margarine,rolls/buns,,,,,,,
napkins,domestic eggs,pastry,,,,,,,
fruit/vegetable juice,whole milk,yogurt,frozen vegetables,rolls/buns,soda,detergent,domestic eggs,shopping bags,pip fruit
yogurt,pastry,chicken,newspapers,napkins,rolls/buns,curd,,,
tropical fruit,margarine,,,,,,,,
chicken,other vegetables,pork,domestic eggs,pastry,,,,,
rolls/buns,chicken,cream cheese,pip fruit,sausage,curd,whole milk,pastry,,
coffee,pip fruit,hamburger meat,pastry,butter,bottled water,,,,
hamburger meat,brown bread,ice cream,,,,,,,
rolls/buns,other vegetables,pork,pastry,pip fruit,coffee,whipped/sour cream,root vegetables,yogurt,
root vegetables,bottled water,pork,yogurt,rolls/buns,sausage,newspapers,,,
napkins,brown bread,pork,citrus fruit,,,,,,
cream cheese,chicken,,,,,,,,
bottled water,margarine,shopping bags,pip fruit,newspapers,rolls/buns,sausage,detergent,pastry,curd
other vegetables,hamburger meat,butter,shopping bags,,,,,,
root vegetables,brown bread,domestic eggs,newspapers,curd,cream cheese,napkins,,,
frozen vegetables,cream cheese,brown bread,,,,,,,
other vegetables,whipped/sour cream,sausage,citrus fruit,detergent,curd,soda,ice cream,root vegetables,
other vegetables,butter,root vegetables,domestic eggs,pastry,newspapers,,,,
chicken,coffee,,,,,,,,
rolls/buns,other vegetables,,,,,,,,
newspapers,tropical fruit,whole milk,cream cheese,curd,frozen vegetables,,,,
napkins,,,,,,,,,
detergent,other vegetables,butter,citrus fruit,chicken,rolls/buns,frozen vegetables,,,
newspapers,pip fruit,yogurt,citrus fruit,sausage,fruit/vegetable juice,whole milk,bottled water,soda,
pip fruit,,,,,,,,,
chicken,frozen vegetables,pip fruit,ice cream,hamburger meat,curd,butter,root vegetables,sausage,tropical fruit
citrus fruit,domestic eggs,margarine,pip fruit,pastry,rolls/buns,shopping bags,,,
pork,,,,,,,,,
sausage,margarine,,,,,,,,
whipped/sour cream,pork,coffee,napkins,root vegetables,shopping bags,tropical fruit,,,
newspapers,frozen vegetables,margarine,hamburger meat,sausage,,,,,
fruit/vegetable juice,frozen vegetables,domestic eggs,brown bread,pastry,shopping bags,other vegetables,sausage,citrus fruit,
pork,pastry,whole milk,cream cheese,fruit/vegetable juice,newspapers,,,,
pip fruit,brown bread,,,,,,,,
cream cheese,frozen vegetables,domestic eggs,coffee,fruit/vegetable juice,napkins,whole milk,shopping bags,,
coffee,pip fruit,domestic eggs,pork,tropical fruit,brown bread,rolls/buns,napkins,frozen vegetables,bottled water
butter,citrus fruit,curd,,,,,,,
ice cream,sausage,domestic eggs,frozen vegetables,chicken,curd,,,,
other vegetables,,,,,,,,,
rolls/buns,sausage,cream cheese,bottled water,,,,,,
root vegetables,bottled water,pip fruit,tropical fruit,,,,,,
frozen vegetables,newspapers,other vegetables,fruit/vegetable juice,detergent,,,,,
brown bread,frozen vegetables,rolls/buns,coffee,pip fruit,tropical fruit,butter,domestic eggs,napkins,yogurt
ice cream,other vegetables,soda,tropical fruit,butter,hamburger meat,pork,frozen vegetables,yogurt,napkins
sausage,yogurt,citrus fruit,brown bread,,,,,,
root vegetables,domestic eggs,brown bread,hamburger meat,frozen vegetables,newspapers,shopping bags,,,
hamburger meat,citrus fruit,soda,detergent,,,,,,
ice cream,newspapers,domestic eggs,pip fruit,,,,,,
tropical fruit,chicken,sausage,yogurt,,,,,,
bottled water,napkins,brown bread,,,,,,,
bottled water,pork,soda,coffee,butter,domestic eggs,curd,shopping bags,,
fruit/vegetable juice,whipped/sour cream,coffee,,,,,,,
sausage,butter,,,,,,,,
soda,brown bread,fruit/vegetable juice,ice cream,rolls/buns,tropical fruit,detergent,newspapers,pork,
other vegetables,whole milk,citrus fruit,ice cream,pastry,fruit/vegetable juice,newspapers,bottled water,cream cheese,
butter,pip fruit,domestic eggs,root vegetables,whole milk,chicken,,,,
brown bread,whole milk,bottled water,chicken,pip fruit,fruit/vegetable juice,newspapers,pastry,butter,
ice cream,domestic eggs,rolls/buns,citrus fruit,other vegetables,sausage,newspapers,bottled water,yogurt,
curd,root vegetables,pastry,brown bread,soda,newspapers,,,,
cream cheese,fruit/vegetable juice,whole milk,coffee,frozen vegetables,bottled water,other vegetables,,,
domestic eggs,hamburger meat,brown bread,whipped/sour cream,ice cream,newspapers,pastry,,,
margarine,,,,,,,,,
frozen vegetables,newspapers,pastry,shopping bags,margarine,root vegetables,pip fruit,sausage,brown bread,chicken
pastry,napkins,pip fruit,citrus fruit,root vegetables,yogurt,whole milk,,,
pastry,,,,,,,,,
detergent,coffee,,,,,,,,
pork,whole milk,chicken,hamburger meat,detergent,yogurt,other vegetables,,,
rolls/buns,napkins,fruit/vegetable juice,bottled water,,,,,,
bottled water,margarine,other vegetables,pork,whole milk,napkins,citrus fruit,butter,,
citrus fruit,yogurt,whole milk,,,,,,,
curd,domestic eggs,pastry,,,,,,,
whole milk,napkins,sausage,margarine,ice cream,pip fruit,,,,
bottled water,margarine,newspapers,whole milk,cream cheese,,,,,
whipped/sour cream,citrus fruit,bottled water,,,,,,,
citrus fruit,chicken,tropical fruit,bottled water,root vegetables,sausage,,,,
frozen vegetables,shopping bags,butter,sausage,pip fruit,bottled water,rolls/buns,pastry,ice cream,
bottled water,newspapers,hamburger meat,,,,,,,
hamburger meat,whipped/sour cream,ice cream,fruit/vegetable juice,curd,domestic eggs,tropical fruit,brown bread,yogurt,
chicken,ice cream,butter,citrus fruit,hamburger meat,curd,,,,
cream cheese,other vegetables,sausage,hamburger meat,curd,,,,,
ice cream,butter,napkins,domestic eggs,sausage,whipped/sour cream,brown bread,yogurt,shopping bags,
detergent,yogurt,newspapers,,,,,,,
margarine,frozen vegetables,pip fruit,newspapers,,,,,,
bottled water,domestic eggs,margarine,soda,hamburger meat,other vegetables,cream cheese,brown bread,,
rolls/buns,newspapers,domestic eggs,,,,,,,
napkins,,,,,,,,,
chicken,rolls/buns,yogurt,whipped/sour cream,newspapers,sausage,frozen vegetables,butter,citrus fruit,bottled water
curd,margarine,citrus fruit,brown bread,whole milk,rolls/buns,domestic eggs,,,
fruit/vegetable juice,citrus fruit,,,,,,,,
margarine,cream cheese,whole milk,,,,,,,
detergent,napkins,pip fruit,yogurt,fruit/vegetable juice,whole milk,chicken,other vegetables,ice cream,curd
curd,butter,citrus fruit,,,,,,,
citrus fruit,napkins,ice cream,rolls/buns,whipped/sour cream,pastry,domestic eggs,,,
cream cheese,soda,pip fruit,pastry,citrus fruit,,,,,
tropical fruit,chicken,citrus fruit,coffee,fruit/vegetable juice,frozen vegetables,yogurt,napkins,pastry,curd
ice cream,tropical fruit,yogurt,bottled water,sausage,coffee,,,,
sausage,shopping bags,tropical fruit,pork,soda,domestic eggs,pastry,rolls/buns,brown bread,detergent
yogurt,,,,,,,,,
tropical fruit,coffee,napkins,margarine,chicken,citrus fruit,cream cheese,detergent,,
coffee,tropical fruit,newspapers,whole milk,butter,pastry,,,,
tropical fruit,coffee,,,,,,,,
napkins,citrus fruit,bottled water,margarine,,,,,,
root vegetables,pork,brown bread,curd,,,,,,
hamburger meat,yogurt,shopping bags,margarine,pork,newspapers,fruit/vegetable juice,napkins,bottled water,
newspapers,curd,citrus fruit,pork,chicken,whipped/sour cream,pip fruit,hamburger meat,other vegetables,butter
root vegetables,fruit/vegetable juice,frozen vegetables,yogurt,butter,brown bread,newspapers,domestic eggs,pip fruit,margarine
whipped/sour cream,whole milk,yogurt,ice cream,tropical fruit,coffee,,,,
coffee,sausage,,,,,,,,
coffee,domestic eggs,shopping bags,rolls/buns,pork,sausage,,,,
whipped/sour cream,cream cheese,hamburger meat,newspapers,butter,coffee,root vegetables,rolls/buns,,
root vegetables,whipped/sour cream,,,,,,,,
sausage,domestic eggs,brown bread,cream cheese,,,,,,
yogurt,ice cream,sausage,tropical fruit,pastry,curd,root vegetables,newspapers,chicken,
frozen vegetables,domestic eggs,whole milk,pork,coffee,yogurt,brown bread,fruit/vegetable juice,,
pork,margarine,,,,,,,,
bottled water,yogurt,pip fruit,,,,,,,
curd,tropical fruit,bottled water,napkins,ice cream,,,,,
napkins,tropical fruit,,,,,,,,
pip fruit,bottled water,,,,,,,,
curd,yogurt,brown bread,butter,pastry,coffee,chicken,margarine,newspapers,
butter,napkins,coffee,whipped/sour cream,pip fruit,curd,,,,
curd,,,,,,,,,
bottled water,,,,,,,,,
pastry,,,,,,,,,
coffee,,,,,,,,,
curd,,,,,,,,,
pastry,napkins,whipped/sour cream,cream cheese,,,,,,
sausage,butter,yogurt,soda,curd,frozen vegetables,hamburger meat,chicken,pip fruit,
curd,chicken,,,,,,,,
soda,other vegetables,fruit/vegetable juice,,,,,,,
brown bread,,,,,,,,,
napkins,detergent,sausage,pastry,domestic eggs,pork,other vegetables,newspapers,,
curd,,,,,,,,,
pork,napkins,butter,,,,,,,
hamburger meat,curd,coffee,frozen vegetables,bottled water,newspapers,tropical fruit,,,
domestic eggs,citrus fruit,bottled water,ice cream,,,,,,
chicken,brown bread,tropical fruit,napkins,curd,whole milk,butter,,,
citrus fruit,bottled water,shopping bags,fruit/vegetable juice,butter,pastry,whipped/sour cream,detergent,rolls/buns,
curd,tropical fruit,fruit/vegetable juice,,,,,,,
curd,shopping bags,newspapers,other vegetables,cream cheese,pork,,,,
shopping bags,frozen vegetables,napkins,whipped/sour cream,ice cream,fruit/vegetable juice,sausage,,,
yogurt,,,,,,,,,
shopping bags,rolls/buns,pork,fruit/vegetable juice,,,,,,
yogurt,pork,other vegetables,domestic eggs,frozen vegetables,tropical fruit,,,,
chicken,napkins,,,,,,,,
rolls/buns,soda,other vegetables,sausage,frozen vegetables,,,,,
whole milk,pastry,cream cheese,coffee,soda,whipped/sour cream,frozen vegetables,brown bread,citrus fruit,
brown bread,rolls/buns,whipped/sour cream,domestic eggs,ice cream,butter,pip fruit,curd,shopping bags,
chicken,butter,hamburger meat,napkins,sausage,citrus fruit,,,,
curd,coffee,brown bread,other vegetables,tropical fruit,frozen vegetables,napkins,bottled water,pip fruit,fruit/vegetable juice
curd,citrus fruit,cream cheese,root vegetables,,,,,,
shopping bags,whipped/sour cream,brown bread,soda,root vegetables,cream cheese,rolls/buns,pork,hamburger meat,
pastry,pip fruit,hamburger meat,newspapers,fruit/vegetable juice,whole milk,,,,
fruit/vegetable juice,citrus fruit,chicken,pastry,margarine,rolls/buns,whipped/sour cream,frozen vegetables,tropical fruit,
domestic eggs,yogurt,cream cheese,,,,,,,
butter,napkins,hamburger meat,whipped/sour cream,fruit/vegetable juice,detergent,root vegetables,cream cheese,,
butter,pork,shopping bags,curd,bottled water,whipped/sour cream,brown bread,frozen vegetables,tropical fruit,domestic eggs
frozen vegetables,rolls/buns,whipped/sour cream,newspapers,curd,fruit/vegetable juice,chicken,pip fruit,citrus fruit,
coffee,pastry,whipped/sour cream,frozen vegetables,other vegetables,rolls/buns,ice cream,tropical fruit,brown bread,
citrus fruit,pip fruit,bottled water,margarine,soda,chicken,newspapers,coffee,fruit/vegetable juice,
yogurt,fruit/vegetable juice,coffee,pork,ice cream,,,,,
pork,hamburger meat,rolls/buns,sausage,ice cream,shopping bags,,,,
pork,,,,,,,,,
frozen vegetables,other vegetables,butter,newspapers,ice cream,pastry,sausage,pip fruit,domestic eggs,detergent
root vegetables,,,,,,,,,
soda,butter,napkins,bottled water,detergent,frozen vegetables,tropical fruit,chicken,,
fruit/vegetable juice,soda,,,,,,,,
soda,tropical fruit,fruit/vegetable juice,ice cream,hamburger meat,shopping bags,newspapers,pork,,
root vegetables,frozen vegetables,brown bread,sausage,shopping bags,butter,ice cream,curd,fruit/vegetable juice,
detergent,,,,,,,,,
coffee,chicken,tropical fruit,root vegetables,hamburger meat,newspapers,,,,
butter,frozen vegetables,ice cream,shopping bags,rolls/buns,margarine,,,,
pastry,frozen vegetables,bottled water,,,,,,,
whole milk,yogurt,domestic eggs,butter,,,,,,
hamburger meat,whipped/sour cream,coffee,soda,root vegetables,fruit/vegetable juice,detergent,newspapers,frozen vegetables,shopping bags
sausage,bottled water,root vegetables,,,,,,,
hamburger meat,curd,detergent,citrus fruit,frozen vegetables,other vegetables,newspapers,chicken,root vegetables,
hamburger meat,,,,,,,,,
pork,margarine,,,,,,,,
shopping bags,fruit/vegetable juice,curd,root vegetables,napkins,,,,,
soda,hamburger meat,napkins,brown bread,cream cheese,margarine,,,,
yogurt,,,,,,,,,
napkins,,,,,,,,,
bottled water,whole milk,citrus fruit,domestic eggs,rolls/buns,pork,butter,other vegetables,,
bottled water,brown bread,newspapers,margarine,detergent,whipped/sour cream,napkins,ice cream,rolls/buns,shopping bags
chicken,whole milk,root vegetables,coffee,yogurt,bottled water,napkins,shopping bags,sausage,
brown bread,whole milk,root vegetables,fruit/vegetable juice,newspapers,bottled water,,,,
detergent,brown bread,tropical fruit,hamburger meat,root vegetables,bottled water,napkins,soda,,
rolls/buns,pork,root vegetables,,,,,,,
cream cheese,ice cream,rolls/buns,whipped/sour cream,citrus fruit,bottled water,brown bread,curd,soda,
domestic eggs,frozen vegetables,,,,,,,,
coffee,cream cheese,shopping bags,citrus fruit,pork,chicken,brown bread,bottled water,tropical fruit,hamburger meat
detergent,pork,whipped/sour cream,whole milk,napkins,soda,butter,margarine,pip fruit,
other vegetables,newspapers,butter,tropical fruit,,,,,,
sausage,,,,,,,,,
pork,napkins,margarine,rolls/buns,hamburger meat,yogurt,,,,
root vegetables,shopping bags,newspapers,rolls/buns,coffee,citrus fruit,soda,fruit/vegetable juice,detergent,napkins
margarine,domestic eggs,root vegetables,,,,,,,
margarine,pip fruit,rolls/buns,pork,,,,,,
newspapers,frozen vegetables,curd,,,,,,,
detergent,butter,whipped/sour cream,,,,,,,
other vegetables,cream cheese,sausage,brown bread,,,,,,
frozen vegetables,other vegetables,sausage,pastry,fruit/vegetable juice,tropical fruit,,,,
fruit/vegetable juice,,,,,,,,,
cream cheese,,,,,,,,,
ice cream,domestic eggs,other vegetables,fruit/vegetable juice,,,,,,
whole milk,pastry,tropical fruit,margarine,frozen vegetables,,,,,
soda,chicken,hamburger meat,sausage,frozen vegetables,pork,,,,
curd,frozen vegetables,pork,sausage,rolls/buns,domestic eggs,other vegetables,fruit/vegetable juice,,
frozen vegetables,yogurt,other vegetables,domestic eggs,fruit/vegetable juice,napkins,cream cheese,,,
ice cream,cream cheese,coffee,soda,butter,,,,,
coffee,whole milk,citrus fruit,curd,yogurt,napkins,,,,
domestic eggs,fruit/vegetable juice,detergent,,,,,,,
other vegetables,detergent,citrus fruit,root vegetables,fruit/vegetable juice,soda,napkins,,,
sausage,whipped/sour cream,curd,chicken,margarine,yogurt,domestic eggs,newspapers,cream cheese,
whole milk,whipped/sour cream,rolls/buns,frozen vegetables,root vegetables,,,,,
domestic eggs,citrus fruit,tropical fruit,sausage,pastry,ice cream,pip fruit,rolls/buns,,
fruit/vegetable juice,chicken,tropical fruit,hamburger meat,ice cream,,,,,
detergent,yogurt,pip fruit,soda,root vegetables,,,,,
margarine,pastry,butter,cream cheese,pork,frozen vegetables,whipped/sour cream,root vegetables,napkins,whole milk
pip fruit,pastry,frozen vegetables,,,,,,,
whipped/sour cream,napkins,brown bread,,,,,,,
pip fruit,sausage,yogurt,,,,,,,
brown bread,other vegetables,soda,sausage,shopping bags,margarine,pastry,curd,frozen vegetables,
